#PTM ID	Entrez Gene ID	BioGRID ID	Systematic Name	Official Symbol	Synonymns	Relationship	Identity	Author	Pubmed ID	Organism ID	Organism Name	Source Database
31971	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31972	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31974	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Zegerman P (2007)	17167417	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31974	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Breitkreutz A (2010)	20489023	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31974	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Tanaka S (2007)	17167415	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31974	856237	36288	YPR120C	CLB5	B-type cyclin CLB5|L000000353	kinase	regulatory	Zegerman P (2007)	17167417	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31974	856237	36288	YPR120C	CLB5	B-type cyclin CLB5|L000000353	kinase	regulatory	Breitkreutz A (2010)	20489023	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31974	856237	36288	YPR120C	CLB5	B-type cyclin CLB5|L000000353	kinase	regulatory	Tanaka S (2007)	17167415	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31975	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Zegerman P (2007)	17167417	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31975	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Breitkreutz A (2010)	20489023	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
