#PTM ID	Entrez Gene ID	BioGRID ID	Systematic Name	Official Symbol	Synonymns	Relationship	Identity	Author	Pubmed ID	Organism ID	Organism Name	Source Database
31814	850706	31293	YLR019W	PSR2	-	phosphatase	catalytic	Bodenmiller B (2010)	21177495	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31815	850706	31293	YLR019W	PSR2	-	phosphatase	catalytic	Bodenmiller B (2010)	21177495	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31816	850706	31293	YLR019W	PSR2	-	phosphatase	catalytic	Bodenmiller B (2010)	21177495	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31817	850706	31293	YLR019W	PSR2	-	phosphatase	catalytic	Bodenmiller B (2010)	21177495	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31878	855765	35855	YNR031C	SSK2	mitogen-activated protein kinase kinase kinase SSK2|L000002826	kinase	catalytic	Bodenmiller B (2010)	21177495	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31879	855765	35855	YNR031C	SSK2	mitogen-activated protein kinase kinase kinase SSK2|L000002826	kinase	catalytic	Bodenmiller B (2010)	21177495	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31880	855765	35855	YNR031C	SSK2	mitogen-activated protein kinase kinase kinase SSK2|L000002826	kinase	catalytic	Bodenmiller B (2010)	21177495	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31881	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Holt LJ (2009)	19779198	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31882	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Holt LJ (2009)	19779198	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31883	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Holt LJ (2009)	19779198	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31884	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Holt LJ (2009)	19779198	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31885	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Holt LJ (2009)	19779198	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31886	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Holt LJ (2009)	19779198	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31887	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Holt LJ (2009)	19779198	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31888	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Holt LJ (2009)	19779198	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
